_id	Ven_Machine	Credit	Unit	Secure_Credit	Report
660515a0f932832204669074	ven338阿里雲中國站備用金【对账群-西瓜】	5000	RMB	2000	Not Yet
660515a0f932832204669075	ven407阿里中國站備用金【充值群-海爾雲端科技公司 Hanson】	1550	RMB	1000	Not Yet
660515a0f932832204669076	ven387阿里中國站備用金【充值群-海爾雲端科技公司 Hanson】	2550.93	RMB	2000	Not Yet
660515a0f932832204669077	ven387纯真社区版IP库离线下载套餐	100000000	次	10000000	Not Yet
660515a0f932832204669078	ven122阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	1000	USD	800	Not Yet
660515a0f932832204669079	ven125阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	1761.3	USD	500	Not Yet
660515a0f93283220466907a	ven126阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	71865.7	USD	20000	Not Yet
660515a0f93283220466907b	ven127阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	999.76	USD	800	Not Yet
660515a0f93283220466907c	ven128阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	2699.57	USD	600	Not Yet
660515a0f93283220466907d	ven137阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	927.3	USD	800	Not Yet
660515a0f93283220466907e	ven150阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	1228.97	USD	500	Not Yet
660515a0f93283220466907f	ven211阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	1000	USD	800	Not Yet
660515a0f932832204669080	ven219阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	1500	USD	800	Not Yet
660515a0f932832204669081	ven231阿里雲國際站備用金【充值群-HiCloud】	9000	USD	300	Not Yet
660515a0f932832204669082	ven244阿里雲國際站備用金【充值群-HiCloud】	9000	USD	300	Not Yet
660515a0f932832204669083	ven265阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	10993.87	USD	3000	Not Yet
660515a0f932832204669084	ven290阿里雲國際站備用金【充值群-HiCloud】	1683.06	USD	1500	Not Yet
660515a0f932832204669085	ven293阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	4974.69	USD	2000	Not Yet
660515a0f932832204669086	ven294阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	3500	USD	2000	Not Yet
660515a0f932832204669087	ven312阿里國際備用金【充值群-海爾雲端科技公司 Hanson】	50000	USD	5000	Not Yet
