_id	Ven_Machine	Credit	Unit
660515a0f932832204669066	ven191(yykj17_v5) 阿里雲國際站信用卡餘額【对账群-西瓜】	18121.85	USD
660515a0f932832204669067	ven192(yykj18_v5 )阿里雲國際站信用卡餘額【对账群-西瓜】	7580.26	USD
660515a0f932832204669068	ven193(yykj19_v5 )阿里雲國際站信用卡餘額【对账群-西瓜】	2904.51	USD
660515a0f932832204669069	ven194(yykj20_v5) 阿里雲國際站信用卡餘額【对账群-西瓜】	2347.72	USD
660515a0f93283220466906a	ven195(yykj21_v5) 阿里雲國際站信用卡餘額【对账群-西瓜】	931.59	USD
660515a0f93283220466906b	ven221(yykj22_v5) 阿里雲國際站信用卡餘額【对账群-西瓜】	2347.02	USD
660515a0f93283220466906c	ven240(yyab25_v5) 阿里雲國際站信用卡餘額【对账群-西瓜】	12778.54	USD
660515a0f93283220466906d	ven241(yyab26_v5) 阿里雲國際站信用卡餘額【对账群-西瓜】	24290.06	USD
660515a0f93283220466906e	ven242(yyab28_v5) 阿里雲國際站信用卡餘額【对账群-西瓜】	1000	USD
660515a0f93283220466906f	ven318(yyab29_v5) 阿里雲國際站信用卡餘額【对账群-西瓜】	2265.79	USD
660515a0f932832204669070	ven319(yyab30_v5) 阿里雲國際站信用卡餘額【对账群-西瓜】	33860.13	USD
660515a0f932832204669071	ven320(yyab31_v5) 阿里雲國際站信用卡餘額【对账群-西瓜】	5702.5	USD
660515a0f932832204669072	Other_10	4313.18	USD
660515a0f932832204669073	ven38阿里雲中國站備用金	6018.62	RMB
660515a0f932832204669074	ven338阿里雲中國站備用金【对账群-西瓜】	5000	RMB
660515a0f932832204669075	ven407阿里中國站備用金【充值群-海爾雲端科技公司 Hanson】	1550	RMB
660515a0f932832204669076	ven387阿里中國站備用金【充值群-海爾雲端科技公司 Hanson】	2550.93	RMB
660515a0f932832204669077	阿里雲 ven387 纯真社区版IP库离线下载套餐	100000000	次
660515a0f932832204669078	ven122阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	1000	USD
660515a0f932832204669079	ven125阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	1816.34	USD
660515a0f93283220466907a	ven126阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	71845.1	USD
660515a0f93283220466907b	ven127阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	999.97	USD
660515a0f93283220466907c	ven128阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	2729.79	USD
660515a0f93283220466907d	ven137阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	974.56	USD
660515a0f93283220466907e	ven150阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	1310.28	USD
660515a0f93283220466907f	ven211阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	1000	USD
660515a0f932832204669080	ven219 阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	1500	USD
660515a0f932832204669081	ven231阿里雲國際站備用金【充值群-HiCloud】	9000	USD
660515a0f932832204669082	ven244阿里雲國際站備用金【充值群-HiCloud】	9000	USD
660515a0f932832204669083	ven265阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	9715.28	USD
660515a0f932832204669084	ven290阿里雲國際站備用金【充值群-HiCloud】	2223.6	USD
660515a0f932832204669085	ven293阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	4811.71	USD
660515a0f932832204669086	ven294阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	3500	USD
660515a0f932832204669087	ven312阿里國際備用金【充值群-海爾雲端科技公司 Hanson】	50000	USD
660515a0f932832204669088	ven313阿里國際備用金【充值群-海爾雲端科技公司 Hanson】	49854.43	USD
660515a0f932832204669089	ven323阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	4888.08	USD
660515a0f93283220466908a	ven324阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	4134.36	USD
660515a0f93283220466908b	ven325阿里國際備用金【充值群-海爾雲端科技公司 Hanson】	50000	USD
660515a0f93283220466908c	ven331阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	2971.43	USD
660515a0f93283220466908d	ven346阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	2198.87	USD
660515a0f93283220466908e	ven356阿里國際備用金【充值群-海爾雲端科技公司 Hanson】	28202.85	USD
660515a0f93283220466908f	ven365阿里雲國際站備用金【A98-富鼎 帳號狀況溝通】	3007.7	USD
660515a0f932832204669090	ven395阿里雲國際站備用金【A98-富鼎 帳號狀況溝通】	5000	USD
660515a0f932832204669091	ven396阿里雲國際站備用金【A98-富鼎 帳號狀況溝通】	5000	USD
660515a0f932832204669092	ven413阿里雲中國站備用金【A98-富鼎 帳號狀況溝通】	1974.69	USD
660515a0f932832204669093	ven416阿里國際備用金【充值群-海爾雲端科技公司 Hanson】	9814.03	USD
660515a0f932832204669094	ven419阿里國際備用金【充值群-海爾雲端科技公司 Hanson】	28927	USD
660515a0f932832204669095	ven429阿里雲國際站備用金【DK0348_Dos3 阿里雲充值群 - D1】	1704	USD
660515a0f932832204669096	ven430阿里雲國際站備用金【DK0348_Dos3 阿里雲充值群 - D1】	2706.3	USD
660515a0f932832204669097	ven134阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	6247.38	USD
660515a0f932832204669098	ven135阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	15999.99	USD
660515a0f932832204669099	ven136阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	87231.91	USD
660515a0f93283220466909a	ven138阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	1000	USD
660515a0f93283220466909b	ven139阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	1000	USD
660515a0f93283220466909c	ven141阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	1000	USD
660515a0f93283220466909d	ven142阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	1500	USD
660515a0f93283220466909e	ven147阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	1000	USD
660515a0f93283220466909f	ven148阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	915.78	USD
660515a0f9328322046690a0	ven149阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	1000	USD
660515a0f9328322046690a1	ven152阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	1000	USD
660515a0f9328322046690a2	ven154阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	7550.28	USD
660515a0f9328322046690a3	ven155阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	1000	USD
660515a0f9328322046690a4	ven233阿里雲國際站備用金【充值群-Olivia_Sherry 阿里雲】	3500	USD
660515a0f9328322046690a5	ven29騰訊云備用金	4799.74	RMB
660515a0f9328322046690a6	ven178騰訊云備用金	2361.79	RMB
660515a0f9328322046690a7	ven181騰訊云備用金	3204.97	RMB
660515a0f9328322046690a8	ven182騰訊云備用金【对账群-西瓜】	621	RMB
660515a0f9328322046690a9	ven184騰訊云備用金【对账群-西瓜】	10461.58	RMB
660515a0f9328322046690aa	ven186騰訊云備用金【对账群-西瓜】	9052	RMB
660515a0f9328322046690ab	ven314 騰訊雲國際站備用金【充值群-HiCloud】	1935.54	USD
660515a0f9328322046690ac	ven315 騰訊雲國際站備用金【充值群-HiCloud】	2000	USD
660515a0f9328322046690ad	ven367騰訊云國際站備用金【充值群-海爾雲端科技公司 Hanson】	2000	USD
